model,pred_label,models,rates,mean_squared_error,root_mean_squared_error,mean_absolute_error,spearman_correlation,pearson_correlation,concordance_correlation_coefficient
Ensemble (vl_seg),vl_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666",1.1636722313919274,1.0787364049627357,0.8850097140345659,0.30348334900543766,0.3130111166760022,0.46564975185451585
Ensemble (vl_seg),vl_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.375, 0.125, 0.125, 0.125, 0.125, 0.125",1.1517077501714756,1.0731764767136278,0.8771625134109061,0.32307655270015645,0.3169151050796767,0.488371669864176
Ensemble (vl_seg),vl_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.125, 0.375, 0.125, 0.125, 0.125, 0.125",1.1760173344999152,1.0844433293168967,0.8933671723228758,0.3088737977306909,0.31939173356084294,0.4719687998433652
Ensemble (vl_seg),vl_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.125, 0.125, 0.375, 0.125, 0.125, 0.125",1.176333673975267,1.0845891729015493,0.8934415234581694,0.3084311361526952,0.3185104295055795,0.47145184432037385
Ensemble (vl_seg),vl_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.125, 0.125, 0.125, 0.375, 0.125, 0.125",1.1731965254167729,1.0831419691881452,0.8915512303500226,0.2960729436266324,0.30230959105660876,0.4568769760723034
Ensemble (vl_seg),vl_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.125, 0.125, 0.125, 0.125, 0.375, 0.125",1.1456722232422385,1.0703607911551312,0.8677579150326131,0.2820226145778918,0.28942065765517666,0.43996511663836485
Ensemble (vl_seg),vl_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.125, 0.125, 0.125, 0.125, 0.125, 0.375",1.1766766462186975,1.0847472729713117,0.8939536636746588,0.29966142564523335,0.31222488723950115,0.46113767744774403
Ensemble (vl_seg),vl_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.3, 0.1, 0.1, 0.1, 0.3, 0.1",1.1398712832581235,1.0676475463644937,0.8653427752128923,0.301117197589472,0.30062431218303065,0.4628594536254533
Ensemble (vl_seg),vl_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.5, 0.2, 0.2, 0.2, 0.2, 0.2",4.028457227855431,2.007101698433697,1.7206856422888486,0.3229262148057428,0.3171685395384415,0.48819988778158874
Ensemble (vl_seg),vl_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.2, 0.2, 0.2, 0.2, 0.5, 0.2",4.034454837704923,2.0085952398890434,1.7295507377168553,0.28651103593666316,0.2932985887387006,0.4454078168526003
Ensemble (vl_seg),vl_seg,"RF, XGB","0.5, 0, 0, 0, 0.5, 0",1.142432428359873,1.068846307174176,0.8564204780040949,0.29315471805395893,0.2892643418063321,0.45339465411396596
